name,vote_count,vote_average,revenue
Karina Florez,0.0,0.0,0.0
Karissa Strain,0.0,0.0,0.0
Karl Alexander Seidel,0.0,0.0,0.0
Karl Campbell,0.0,0.0,0.0
Karl Malone,0.0,0.0,0.0
Karl Geary,0.0,0.0,0.0
Karl Hussain,0.0,0.0,0.0
Karl Jacob,0.0,0.0,0.0
Karl Johnson,0.0,0.0,0.0
Karl Júlíusson,0.0,0.0,0.0
Karl Maier,0.0,0.0,0.0
Karin Freeland,0.0,0.0,0.0
Karim Fawzy,0.0,0.0,0.0
Karim Doukkali,0.0,0.0,0.0
Karim Ben Haddou,0.0,0.0,0.0
Kari Perdue,0.0,0.0,0.0
Kari Klinkenborg,0.0,0.0,0.0
Kari Kimmel,0.0,0.0,0.0
Kari J. Kramer,0.0,0.0,0.0
Kari Hawker-Diaz,0.0,0.0,0.0
Karey Green,0.0,0.0,0.0
Karen-Eileen Gordon,0.0,0.0,0.0
Karen Young,0.0,0.0,0.0
Karen Wheeling Reynolds,0.0,0.0,0.0
Karen Vicks,0.0,0.0,0.0
Karen Starc,0.0,0.0,0.0
Karen Robinson,0.0,0.0,0.0
Karen Reigh,0.0,0.0,0.0
Karl Makinen,0.0,0.0,0.0
Karl Markovics,0.0,0.0,0.0
Kasey James,0.0,0.0,0.0
Karson Pound,0.0,0.0,0.0
Karolina Szymczak,0.0,0.0,0.0
Karoline Herfurth,0.0,0.0,0.0
Karren Karagulian,0.0,0.0,0.0
Karri Turner,0.0,0.0,0.0
Karrueche Tran,0.0,0.0,0.0
Karry Wang,0.0,0.0,0.0
Karsten Friske,0.0,0.0,0.0
Karl McMillan,0.0,0.0,0.0
Kary Musa,0.0,0.0,0.0
Karyn Parsons,0.0,0.0,0.0
Karynn Moore,0.0,0.0,0.0
Kas Graham,0.0,0.0,0.0
Kasan Butcher,0.0,0.0,0.0
Kasey Brown,0.0,0.0,0.0
Karolina Muller,0.0,0.0,0.0
Karolina Kurkova,0.0,0.0,0.0
Karolina Kennedy Durrence,0.0,0.0,0.0
Karol Steele,0.0,0.0,0.0
Karol Kent,0.0,0.0,0.0
Karlie Kloss,0.0,0.0,0.0
Karli Karissa,0.0,0.0,0.0
Karley Scott Collins,0.0,0.0,0.0
